status,budget_tokens,dataset,seed,method,jsonl,issues,slurm_job_id,slurm_restart_count,slurm_node
valid,100000000,dclm,1337,full,experiments/runs/iclr26_main/E1_rational_only_100m/dclm/E1_rational_only_100m_dclm_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,dclm,2027,full,experiments/runs/iclr26_main/E1_rational_only_100m/dclm/E1_rational_only_100m_dclm_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,dclm,3407,full,experiments/runs/iclr26_main/E1_rational_only_100m/dclm/E1_rational_only_100m_dclm_m0_100m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,fineweb_edu,1337,full,experiments/runs/iclr26_main/E1_rational_only_100m/fineweb_edu/E1_rational_only_100m_fineweb_edu_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,fineweb_edu,2027,full,experiments/runs/iclr26_main/E1_rational_only_100m/fineweb_edu/E1_rational_only_100m_fineweb_edu_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,fineweb_edu,3407,full,experiments/runs/iclr26_main/E1_rational_only_100m/fineweb_edu/E1_rational_only_100m_fineweb_edu_m0_100m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,fineweb,1337,full,experiments/runs/iclr26_main/E1_rational_only_100m/fineweb/E1_rational_only_100m_fineweb_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,fineweb,2027,full,experiments/runs/iclr26_main/E1_rational_only_100m/fineweb/E1_rational_only_100m_fineweb_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,fineweb,3407,full,experiments/runs/iclr26_main/E1_rational_only_100m/fineweb/E1_rational_only_100m_fineweb_m0_100m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,dolma_sample,1337,full,experiments/runs/iclr26_main/E1_rational_only_100m/dolma_sample/E1_rational_only_100m_dolma_sample_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
