catalog_name,family_for_this_review,review_depth,paper_url,author_repository,assessment_scope
SGD,classical / other adaptive baseline,catalog triage only,https://projecteuclid.org/journals/annals-of-mathematical-statistics/volume-22/issue-3/A-Stochastic-Approximation-Method/10.1214/aoms/1177729586.full,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/sgd.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
NAG,gradient history,catalog triage only,https://mpawankumar.info/teaching/cdt-big-data/nesterov83.pdf,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/NAG.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Rprop,classical / other adaptive baseline,catalog triage only,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.52.4576,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/rprop.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaGrad,classical / other adaptive baseline,catalog triage only,http://www.jmlr.org/papers/volume12/duchi11a/duchi11a.pdf,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adagrad.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaDelta,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1212.5701,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adadelta.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
RMSprop,classical / other adaptive baseline,catalog triage only,https://www.cs.toronto.edu/~tijmen/csc321/slides/lecture_slides_lec6.pdf,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/rmsprop.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Adam,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1412.6980,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adam.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Adamax,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1412.6980,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adamax.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
LARS,block weighting / masking,catalog triage only,https://arxiv.org/abs/1708.03888,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/lars.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdamW,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1711.05101,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adamw.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SWATS,generalization / iterate averaging,catalog triage only,https://arxiv.org/abs/1712.07628,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/swats.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Shampoo,parent normalization / preconditioning,catalog triage only,https://arxiv.org/abs/1802.09568,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/shampoo.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
QHAdam,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1810.06801,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/qhadam.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
QHM,gradient history,catalog triage only,https://arxiv.org/abs/1810.06801,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/qhm.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Yogi,classical / other adaptive baseline,catalog triage only,https://papers.nips.cc/paper/8186-adaptive-methods-for-nonconvex-optimization.pdf,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/yogi.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaFactor,systems / state efficiency,catalog triage only,https://arxiv.org/abs/1804.04235,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adafactor.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AggMo,gradient history,catalog triage only,https://arxiv.org/abs/1804.00325,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/aggmo.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
PID,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1802.07640,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/pid.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AccSGD,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1807.02259,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/accsgd.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaBound,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1902.09843,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adabound.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
LAMB,block weighting / masking,catalog triage only,https://arxiv.org/abs/1904.00962,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/lamb.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Lookahead,generalization / iterate averaging,catalog triage only,https://arxiv.org/abs/1907.08610,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/lookahead.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
RAdam,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1908.03265,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/radam.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaMod,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1910.12249,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adamod.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Ranger,generalization / iterate averaging,catalog triage only,https://medium.com/@lessw/new-deep-learning-optimizer-ranger-synergistic-combination-of-radam-lookahead-for-the-best-of-2dc83f79a48d,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/ranger.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
NAdam,gradient history,catalog triage only,https://openreview.net/forum?id=OM0jvwB8jIp57ZJjtNEZ,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/nadam.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
NovoGrad,block weighting / masking,catalog triage only,https://arxiv.org/abs/1905.11286,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/novograd.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
DiffGrad,gradient history,catalog triage only,https://arxiv.org/abs/1909.11015,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/diffgrad.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaHessian,curvature,catalog triage only,https://arxiv.org/abs/2006.00719,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adahessian.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaBelief,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/2010.07468,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adabelief.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdamP,weight constraints / parameterization,catalog triage only,https://arxiv.org/abs/2006.08217,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adamp.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SGDP,weight constraints / parameterization,catalog triage only,https://arxiv.org/abs/2006.08217,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/sgdp.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Apollo (1),curvature,catalog triage only,https://arxiv.org/abs/2009.13586,https://github.com/XuezheMax/apollo,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Apollo (2),systems / state efficiency,catalog triage only,https://arxiv.org/abs/2412.05270,https://github.com/zhuhanqing/APOLLO,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
